Genome	Species	Type	phr.file	pin.file	psq.file
Dong Nong No.50	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Dong_Nong_No.50.phr' target='_blank'>Dong Nong No.50.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Dong_Nong_No.50.pin' target='_blank'>Dong Nong No.50.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Dong_Nong_No.50.psq' target='_blank'>Dong Nong No.50.psq</a>
Han Dou No.5	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Han_Dou_No.5.phr' target='_blank'>Han Dou No.5.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Han_Dou_No.5.pin' target='_blank'>Han Dou No.5.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Han_Dou_No.5.psq' target='_blank'>Han Dou No.5.psq</a>
Hei He No.43	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Hei_He_No.43.phr' target='_blank'>Hei He No.43.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Hei_He_No.43.pin' target='_blank'>Hei He No.43.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Hei_He_No.43.psq' target='_blank'>Hei He No.43.psq</a>
Ke Shan No.1	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Ke_Shan_No.1.phr' target='_blank'>Ke Shan No.1.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Ke_Shan_No.1.pin' target='_blank'>Ke Shan No.1.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Ke_Shan_No.1.psq' target='_blank'>Ke Shan No.1.psq</a>
Ji Dou No.17	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Ji_Dou_No.17.phr' target='_blank'>Ji Dou No.17.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Ji_Dou_No.17.pin' target='_blank'>Ji Dou No.17.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Ji_Dou_No.17.psq' target='_blank'>Ji Dou No.17.psq</a>
Jin Dou No.23	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Jin_Dou_No.23.phr' target='_blank'>Jin Dou No.23.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Jin_Dou_No.23.pin' target='_blank'>Jin Dou No.23.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Jin_Dou_No.23.psq' target='_blank'>Jin Dou No.23.psq</a>
Ju Xuan No.23	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Ju_Xuan_No.23.phr' target='_blank'>Ju Xuan No.23.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Ju_Xuan_No.23.pin' target='_blank'>Ju Xuan No.23.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Ju_Xuan_No.23.psq' target='_blank'>Ju Xuan No.23.psq</a>
PI 548362	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/PI_548362.phr' target='_blank'>PI 548362.phr</a>	<a href='SoybeanGDB_blastdb/Protein/PI_548362.pin' target='_blank'>PI 548362.pin</a>	<a href='SoybeanGDB_blastdb/Protein/PI_548362.psq' target='_blank'>PI 548362.psq</a>
Qi Huang No.34	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Qi_Huang_No.34.phr' target='_blank'>Qi Huang No.34.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Qi_Huang_No.34.pin' target='_blank'>Qi Huang No.34.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Qi_Huang_No.34.psq' target='_blank'>Qi Huang No.34.psq</a>
Tie Feng No.18	Glycine max (L.) Merr.	Improved cultivar	<a href='SoybeanGDB_blastdb/Protein/Tie_Feng_No.18.phr' target='_blank'>Tie Feng No.18.phr</a>	<a href='SoybeanGDB_blastdb/Protein/Tie_Feng_No.18.pin' target='_blank'>Tie Feng No.18.pin</a>	<a href='SoybeanGDB_blastdb/Protein/Tie_Feng_No.18.psq' target='_blank'>Tie Feng No.18.psq</a>
