Cultivar	Wild
s311	Landrace	
s312	Landrace	
s313	Landrace	
s314	Landrace	
s315	Landrace	
s316	Landrace	
s317	Landrace	
s318	Landrace	
s319	Landrace	
s320	Landrace	
s321	Landrace	
s322	Landrace	
s323	Landrace	
s324	Landrace	
s325	Landrace	
s326	Landrace	
s327	Landrace	
s328	Landrace	
s329	Landrace	
s330	Landrace	
s331	Landrace	
s332	Landrace	
s333	Landrace	
s334	Landrace	
s335	Landrace	
s336	Landrace	
s337	Landrace	
s338	Landrace	
s339	Landrace	
s340	Landrace	
s341	Landrace	
s342	Landrace	
s343	Landrace	
s344	Landrace	
s345	Landrace	
s346	Landrace	
s347	Landrace	
s348	Landrace	
s349	Landrace	
s350	Landrace	
s351	Landrace	
s352	Landrace	
s353	Landrace	
s354	Landrace	
s355	Landrace	
s356	Landrace	
s357	Landrace	
s358	Landrace	
s359	Landrace	
s360	Landrace	
s361	Landrace	
s362	Landrace	
s363	Landrace	
s364	Landrace	
s365	Landrace	
s366	Landrace	
s367	Landrace	
s368	Landrace	
s369	Landrace	
s370	Landrace	
s371	Landrace	
s372	Landrace	
s373	Landrace	
s374	Landrace	
s375	Landrace	
s376	Landrace	
s377	Landrace	
s378	Landrace	
s379	Landrace	
s380	Landrace	
s381	Landrace	
s382	Landrace	
s383	Landrace	
s384	Landrace	
s385	Landrace	
s386	Landrace	
s387	Landrace	
s388	Landrace	
s389	Landrace	
s390	Landrace	
s391	Landrace	
s392	Landrace	
s393	Landrace	
s394	Landrace	
s395	Landrace	
s396	Landrace	
s397	Landrace	
s398	Landrace	
s399	Landrace	
s400	Landrace	
s401	Landrace	
s402	Landrace	
s403	Landrace	
s404	Landrace	
s405	Landrace	
s406	Landrace	
s407	Landrace	
s408	Landrace	
s409	Landrace	
s410	Landrace	
s411	Landrace	
s412	Landrace	
s413	Landrace	
s414	Landrace	
s415	Landrace	
s416	Landrace	
s417	Landrace	
s418	Landrace	
s419	Landrace	
s420	Landrace	
s421	Landrace	
s422	Landrace	
s423	Landrace	
s424	Landrace	
s425	Landrace	
s426	Landrace	
s427	Landrace	
s428	Landrace	
s429	Landrace	
s430	Landrace	
s431	Landrace	
s432	Landrace	
s433	Landrace	
s434	Landrace	
s435	Landrace	
s436	Landrace	
s437	Landrace	
s438	Landrace	
s439	Landrace	
s440	Landrace	
s441	Landrace	
s442	Landrace	
s443	Landrace	
s444	Landrace	
s445	Landrace	
s446	Landrace	
s447	Landrace	
s448	Landrace	
s449	Landrace	
s450	Landrace	
s451	Landrace	
s452	Landrace	
s453	Landrace	
s454	Landrace	
s455	Landrace	
s456	Landrace	
s457	Landrace	
s458	Landrace	
s459	Landrace	
s460	Landrace	
s461	Landrace	
s462	Landrace	
s463	Landrace	
s464	Landrace	
s465	Landrace	
s466	Landrace	
s467	Landrace	
s468	Landrace	
s469	Landrace	
s470	Landrace	
s471	Landrace	
s472	Landrace	
s473	Landrace	
s474	Landrace	
s475	Landrace	
s476	Landrace	
s477	Landrace	
s478	Landrace	
s479	Landrace	
s480	Landrace	
s481	Landrace	
s482	Landrace	
s483	Landrace	
s484	Landrace	
s485	Landrace	
s486	Landrace	
s487	Landrace	
s488	Landrace	
s489	Landrace	
s490	Landrace	
s491	Landrace	
s492	Landrace	
s493	Landrace	
s494	Landrace	
s495	Landrace	
s496	Landrace	
s497	Landrace	
s498	Landrace	
s499	Landrace	
s500	Landrace	
s501	Landrace	
s502	Landrace	
s503	Landrace	
s504	Landrace	
s505	Landrace	
s506	Landrace	
s507	Landrace	
s508	Landrace	
s509	Landrace	
s510	Landrace	
s511	Landrace	
s512	Landrace	
s513	Landrace	
s514	Landrace	
s515	Landrace	
s516	Landrace	
s517	Landrace	
s518	Landrace	
s519	Landrace	
s520	Landrace	
s521	Landrace	
s522	Landrace	
s523	Landrace	
s524	Landrace	
s525	Landrace	
s526	Landrace	
s527	Landrace	
s528	Landrace	
s529	Landrace	
s530	Landrace	
s531	Landrace	
s532	Landrace	
s533	Landrace	
s534	Landrace	
s535	Landrace	
s536	Landrace	
s537	Landrace	
s538	Landrace	
s539	Landrace	
s540	Landrace	
s541	Landrace	
s542	Landrace	
s543	Landrace	
s544	Landrace	
s545	Landrace	
s546	Landrace	
s547	Landrace	
s548	Landrace	
s549	Landrace	
s550	Landrace	
s551	Landrace	
s552	Landrace	
s553	Landrace	
s554	Landrace	
s555	Landrace	
s556	Landrace	
s557	Landrace	
s558	Landrace	
s559	Landrace	
s560	Landrace	
s561	Landrace	
s562	Landrace	
s563	Landrace	
s564	Landrace	
s565	Landrace	
s566	Landrace	
s567	Landrace	
