Accession	ID
PI_548362	SoyC10_03G177100\nSoyC10_08G236600\nSoyC10_02G136600\nSoyC10_05G208300\nSoyC10_11G095200\nSoyC10_09G096400\nSoyC10_11G157200\nSoyC10_08G252700\nSoyC10_14G108900\nSoyC10_08G032600\nSoyC10_07G132800\nSoyC10_20G156800\nSoyC10_02G073100\nSoyC10_02G014100\nSoyC10_13G324100\nSoyC10_17G025750\nSoyC10_06G170300\nSoyC10_13G249100\nSoyC10_09G141000\nSoyC10_16G088100
PI_549046	SoyW02_09G194100\nSoyW02_17G218300\nSoyW02_06G250200\nSoyW02_11G094300\nSoyW02_16G095300\nSoyW02_12G177800\nSoyW02_15G198000\nSoyW02_08G052100\nSoyW02_08G016000\nSoyW02_08G286400\nSoyW02_16G149500\nSoyW02_16G119300\nSoyW02_16G024200\nSoyW02_11G039900\nSoyW02_12G228700\nSoyW02_06G187200\nSoyW02_05G061700\nSoyW02_04G206800\nSoyW02_19G201700\nSoyW02_10G225500
PI_562565	SoyW01_04G214000\nSoyW01_04G233200\nSoyW01_05G149800\nSoyW01_09G011900\nSoyW01_17G165000\nSoyW01_03G064100\nSoyW01_14G172000\nSoyW01_20G105200\nSoyW01_15G112000\nSoyW01_13G090700\nSoyW01_13G092500\nSoyW01_11G046400\nSoyW01_02G022800\nSoyW01_13G335000\nSoyW01_04G144800\nSoyW01_11G173600\nSoyW01_19G015800\nSoyW01_16G192000\nSoyW01_15G007600\nSoyW01_03G149400
PI_578357	SoyW03_20G263700\nSoyW03_04G137500\nSoyW03_08G008600\nSoyW03_08G138500\nSoyW03_13G011700\nSoyW03_16G093500\nSoyW03_19G066800\nSoyW03_06G220700\nSoyW03_13G196600\nSoyW03_15G267700\nSoyW03_19G164200\nSoyW03_11G227200\nSoyW03_03G160200\nSoyW03_06G090200\nSoyW03_03G040500\nSoyW03_01G001100\nSoyW03_19G260000\nSoyW03_18G222200\nSoyW03_11G216400\nSoyW03_10G253200
Qi_Huang_No.34	SoyC08_10G163800\nSoyC08_18G191550\nSoyC08_15G075300\nSoyC08_14G045000\nSoyC08_03G037200\nSoyC08_01G177400\nSoyC08_18G209000\nSoyC08_04G155100\nSoyC08_19G027100\nSoyC08_12G053800\nSoyC08_03G209100\nSoyC08_11G241600\nSoyC08_01G152900\nSoyC08_20G244300\nSoyC08_09G004500\nSoyC08_20G007800\nSoyC08_13G169900\nSoyC08_08G012400\nSoyC08_14G067700\nSoyC08_12G099900
Shi_Sheng_Chang_Ye	SoyL09_09G059300\nSoyL09_08G221300\nSoyL09_06G233200\nSoyL09_10G092200\nSoyL09_12G052600\nSoyL09_12G034400\nSoyL09_05G021100\nSoyL09_09G140600\nSoyL09_01G114900\nSoyL09_15G214800\nSoyL09_12G091700\nSoyL09_09G111800\nSoyL09_11G158800\nSoyL09_18G219200\nSoyL09_11G257300\nSoyL09_10G036900\nSoyL09_02G108500\nSoyL09_16G070600\nSoyL09_09G090200\nSoyL09_09G018600
Tie_Feng_No.18	SoyC02_13G310300\nSoyC02_14G147400\nSoyC02_03G146200\nSoyC02_03G156800\nSoyC02_01G205300\nSoyC02_20G087100\nSoyC02_02G153400\nSoyC02_16G052100\nSoyC02_05G094700\nSoyC02_15G028600\nSoyC02_09G117000\nSoyC02_05G025200\nSoyC02_04G028400\nSoyC02_18G298300\nSoyC02_13G086200\nSoyC02_13G012300\nSoyC02_15G054700\nSoyC02_04G157400\nSoyC02_19G010700\nSoyC02_10G224500
Tie_Jia_Si_Li_Huang	SoyL08_03G215300\nSoyL08_15G066300\nSoyL08_01G052100\nSoyL08_06G297200\nSoyL08_05G179100\nSoyL08_11G064400\nSoyL08_18G248450\nSoyL08_09G069200\nSoyL08_06G091400\nSoyL08_16G143200\nSoyL08_02G203900\nSoyL08_15G108700\nSoyL08_01G166000\nSoyL08_18G182700\nSoyL08_04G118000\nSoyL08_02G035600\nSoyL08_06G051400\nSoyL08_06G269400\nSoyL08_13G364400\nSoyL08_18G262300
Tong_Shan_Tian_E_Dan	SoyL03_03G037300\nSoyL03_18G126500\nSoyL03_17G027700\nSoyL03_11G136700\nSoyL03_18G053500\nSoyL03_01G148800\nSoyL03_20G196400\nSoyL03_06G143400\nSoyL03_09G130500\nSoyL03_11G191800\nSoyL03_08G180100\nSoyL03_15G122900\nSoyL03_05G051900\nSoyL03_15G071700\nSoyL03_08G229500\nSoyL03_02G218500\nSoyL03_13G245100\nSoyL03_14G038300\nSoyL03_08G111100\nSoyL03_04G168500
W05	Glysoja.20G054978\nGlysoja.17G046635\nGlysoja.17G044903\nGlysoja.15G040787\nGlysoja.07G017638\nGlysoja.08G019807\nGlysoja.11G030688\nGlysoja.10G026052\nGlysoja.08G020714\nGlysoja.18G049071\nGlysoja.01G001122\nGlysoja.20G054254\nGlysoja.14G037428\nGlysoja.20G054660\nGlysoja.05G012764\nGlysoja.20G053855\nGlysoja.06G014737\nGlysoja.04G010675\nGlysoja.06G013789\nGlysoja.07G018902
Wan_Dou_No.28	SoyC04_11G006400\nSoyC04_14G214500\nSoyC04_19G182000\nSoyC04_09G032800\nSoyC04_04G195000\nSoyC04_20G098900\nSoyC04_12G102500\nSoyC04_20G061960\nSoyC04_15G054900\nSoyC04_07G084600\nSoyC04_17G049300\nSoyC04_20G050000\nSoyC04_08G169100\nSoyC04_15G022900\nSoyC04_07G194600\nSoyC04_18G083600\nSoyC04_19G072200\nSoyC04_18G039200\nSoyC04_09G280600\nSoyC04_08G018300
Williams_82	Glyma.04G043900\nGlyma.11G183100\nGlyma.02G302800\nGlyma.17G027900\nGlyma.14G041200\nGlyma.20G235800\nGlyma.19G148900\nGlyma.04G149300\nGlyma.06G222600\nGlyma.09G109700\nGlyma.07G209900\nGlyma.11G248000\nGlyma.06G190300\nGlyma.04G226600\nGlyma.05G042900\nGlyma.13G184100\nGlyma.16G013100\nGlyma.01G038800\nGlyma.01G100801\nGlyma.14G099100
Xu_Dou_No.1	SoyC01_06G225800\nSoyC01_03G254100\nSoyC01_09G258900\nSoyC01_07G022300\nSoyC01_19G136000\nSoyC01_07G091400\nSoyC01_05G226700\nSoyC01_03G078400\nSoyC01_14G035800\nSoyC01_01G150900\nSoyC01_08G250400\nSoyC01_09G060600\nSoyC01_06G035000\nSoyC01_05G059900\nSoyC01_06G017300\nSoyC01_11G074600\nSoyC01_06G234200\nSoyC01_15G122600\nSoyC01_17G008100\nSoyC01_08G120400
Yu_Dou_No.22	SoyC06_07G219400\nSoyC06_13G190500\nSoyC06_04G184600\nSoyC06_10G087200\nSoyC06_17G063700\nSoyC06_17G047700\nSoyC06_20G003900\nSoyC06_12G229900\nSoyC06_19G059000\nSoyC06_11G062000\nSoyC06_02G234400\nSoyC06_13G153700\nSoyC06_02G041300\nSoyC06_02G153100\nSoyC06_12G094500\nSoyC06_15G240600\nSoyC06_06G067000\nSoyC06_16G048200\nSoyC06_09G226400\nSoyC06_08G205400
Zhang_Chun_Man_Cang_Jin	SoyL06_08G222500\nSoyL06_09G009700\nSoyL06_13G098430\nSoyL06_08G317600\nSoyL06_08G158600\nSoyL06_05G054700\nSoyL06_12G160200\nSoyL06_16G101900\nSoyL06_04G040300\nSoyL06_08G342400\nSoyL06_11G232400\nSoyL06_05G068450\nSoyL06_08G149400\nSoyL06_19G006400\nSoyL06_17G162400\nSoyL06_19G240800\nSoyL06_20G101300\nSoyL06_02G299600\nSoyL06_06G039200\nSoyL06_02G303400
Zhonghuang_13	SoyZH13_20G124201\nSoyZH13_14G131103\nSoyZH13_10G049500\nSoyZH13_01G054202\nSoyZH13_13G043301\nSoyZH13_10G214500\nSoyZH13_05G061800\nSoyZH13_11G118400\nSoyZH13_02G038800\nSoyZH13_16G155300\nSoyZH13_13G319400\nSoyZH13_19G153500\nSoyZH13_20G135100\nSoyZH13_18G142622\nSoyZH13_12G186900\nSoyZH13_11G123500\nSoyZH13_18G024500\nSoyZH13_20G078300\nSoyZH13_02G231900\nSoyZH13_03G179600
Zhutwinning2	SoyL01_15G020800\nSoyL01_03G148300\nSoyL01_10G275800\nSoyL01_06G029800\nSoyL01_02G184900\nSoyL01_08G203100\nSoyL01_18G202500\nSoyL01_17G083800\nSoyL01_16G144500\nSoyL01_02G198800\nSoyL01_04G032000\nSoyL01_08G307200\nSoyL01_10G240000\nSoyL01_04G122300\nSoyL01_13G184100\nSoyL01_11G235000\nSoyL01_20G037100\nSoyL01_05G043300\nSoyL01_17G232450\nSoyL01_06G170200
Zi_Hua_No.4	SoyL02_12G177600\nSoyL02_16G042600\nSoyL02_07G255400\nSoyL02_04G197700\nSoyL02_14G228500\nSoyL02_20G028400\nSoyL02_11G066000\nSoyL02_14G009200\nSoyL02_05G171900\nSoyL02_10G248300\nSoyL02_07G250800\nSoyL02_19G106800\nSoyL02_19G030050\nSoyL02_18G293100\nSoyL02_12G112600\nSoyL02_15G237700\nSoyL02_09G234800\nSoyL02_20G104000\nSoyL02_13G215200\nSoyL02_10G133900
Lee	GlymaLee.07G056900\nGlymaLee.18G234900\nGlymaLee.10G104700\nGlymaLee.10G254900\nGlymaLee.11G195400\nGlymaLee.08G180100\nGlymaLee.02G181800\nGlymaLee.14G050300\nGlymaLee.08G029900\nGlymaLee.05G011000\nGlymaLee.17G188100\nGlymaLee.08G189800\nGlymaLee.14G096700\nGlymaLee.02G221000\nGlymaLee.06G250800\nGlymaLee.02G241000\nGlymaLee.01G042800\nGlymaLee.10G190700\nGlymaLee.16G182900\nGlymaLee.10G222400
Tianlong1	SoyTL1_20G002713\nSoyTL1_19G000904\nSoyTL1_07G001445\nSoyTL1_19G000233\nSoyTL1_06G000500\nSoyTL1_19G000456\nSoyTL1_19G000518\nSoyTL1_04G001426\nSoyTL1_14G000900\nSoyTL1_14G001681\nSoyTL1_09G001125\nSoyTL1_05G000056\nSoyTL1_08G001297\nSoyTL1_06G001803\nSoyTL1_04G000171\nSoyTL1_04G000884\nSoyTL1_12G001287\nSoyTL1_17G001307\nSoyTL1_09G000503\nSoyTL1_14G000215
Glycine_tomentella_D3	Gto8g020268\nGto7g019791\nGto5g013332\nGto14g038169\nGto14g038961\nGto15g039893\nGto15g039855\nGto2g005240\nGto16g044568\nGto18g049920\nGto9g023107\nGto7g017434\nGto11g030218\nGto7g017656\nGto13g034202\nGto12g031864\nGto3g006235\nGto4g009785\nGto12g031934\nGto18g049977
Glycine_cyrtoloba	Gcy9g022471\nGcy15g038088\nGcy14g036137\nGcy11g026549\nGcy3g006366\nGcy17g046277\nGcy1g001761\nGcy3g005409\nGcy13g032006\nGcy12g029614\nGcy10g024751\nGcy12g031273\nGcy17g046412\nGcy20g055365\nGcy18g050328\nGcy10g025719\nGcy2g004105\nGcy17g045941\nGcy3g006449\nGcy6g012281
Glycine_dolichocarpa	Gtt35g098265\nGtt23g063494\nGtt1g001477\nGtt7g016272\nGtt21g057755\nGtt5g069091\nGtt35g099802\nGtt31g085951\nGtt39g110360\nGtt11g029602\nGtt29g082064\nGtt24g066680\nGtt10g027723\nGtt23g063716\nGtt34g095475\nGtt32g089863\nGtt6g071796\nGtt36g101750\nGtt25g011947\nGtt5g069515\nGtt19g051910\nGtt8g022601\nGtt16g043853\nGtt26g014585\nGtt12g031954\nGtt9g023983\nGtt29g079703\nGtt14g038083\nGtt17g104573\nGtt40g112919\nGtt16g043252\nGtt16g044355\nGtt19g052635\nGtt16g043999\nGtt13g091740\nGtt37g045939\nGtt34g095082\nGtt35g098989\nGtt36g102127\nGtt24g066471
Glycine_falcata	Gfa16g044387\nGfa17g047397\nGfa18g051522\nGfa5g011530\nGfa7g017600\nGfa3g007797\nGfa1g001057\nGfa6g014362\nGfa17g047707\nGfa10g029366\nGfa18g050671\nGfa9g026434\nGfa11g031281\nGfa13g036831\nGfa13g035768\nGfa19g054058\nGfa17g047207\nGfa17g046909\nGfa1g002160\nGfa5g011756
Glycine_stenophita	Gst11g028639\nGst1g000823\nGst16g041491\nGst5g012247\nGst7g016074\nGst9g022826\nGst7g018543\nGst5g012092\nGst6g015052\nGst12g031229\nGst6g014537\nGst20g053276\nGst13g035743\nGst13g036020\nGst1g001032\nGst10g027186\nGst16g043421\nGst20g055352\nGst7g017269\nGst19g051335
Glycine_syndetika	Gsy15g038561\nGsy1g002217\nGsy16g043566\nGsy8g021073\nGsy1g001388\nGsy17g044895\nGsy9g023724\nGsy4g008631\nGsy1g000766\nGsy1g000390\nGsy16g043124\nGsy18g048392\nGsy17g045338\nGsy16g042091\nGsy12g031658\nGsy10g026545\nGsy3g007359\nGsy7g015806\nGsy14g036791\nGsy19g052039
Hwangkeum	GmHk_13G038977\nGmHk_08G021063\nGmHk_15G045140\nGmHk_01G001777\nGmHk_02G005261\nGmHk_11G030762\nGmHk_10G030533\nGmHk_15G043557\nGmHk_19G054822\nGmHk_20G057882\nGmHk_08G022858\nGmHk_19G054005\nGmHk_12G033726\nGmHk_13G037617\nGmHk_04G009136\nGmHk_09G025500\nGmHk_17G047488\nGmHk_03G008506\nGmHk_12G034308\nGmHk_18G052456
