ID	Species	Category	Names	Origin
s1	Glycine max (L.) Merr.	Glycine soja	PI 458535	China
s2	Glycine max (L.) Merr.	Glycine soja	PI 407301	China
s3	Glycine max (L.) Merr.	Glycine soja	PI 458538 -2	China, Hei Long Jiang
s4	Glycine max (L.) Merr.	Glycine soja	PI 479769	China, Hei Long Jiang
s5	Glycine max (L.) Merr.	Glycine soja	PI 458536	China, Hei Long Jiang
s6	Glycine max (L.) Merr.	Glycine soja	PI 522182 B	China, Hei Long Jiang
s7	Glycine max (L.) Merr.	Glycine soja	PI 447004	China, Ji Lin
s8	Glycine max (L.) Merr.	Glycine soja	PI 479752	China, Ji Lin
s9	Glycine max (L.) Merr.	Glycine soja	PI 407288	China, Ji Lin
s10	Glycine max (L.) Merr.	Glycine soja	PI 464935	China, Jiang Su
s11	Glycine max (L.) Merr.	Glycine soja	PI 464929 B	China, Liao Ning
s12	Glycine max (L.) Merr.	Glycine soja	PI 468916	China, Liao Ning
s13	Glycine max (L.) Merr.	Glycine soja	PI 464927 A -2	China, Liao Ning
s14	Glycine max (L.) Merr.	Glycine soja	PI 464929 A -2	China, Liao Ning
s15	Glycine max (L.) Merr.	Glycine soja	PI 483460 B	China, Liao Ning
s16	Glycine max (L.) Merr.	Glycine soja	PI 483464 A	China, Ning Xia
s17	Glycine max (L.) Merr.	Glycine soja	PI 468400 A	China, Ning Xia
s18	Glycine max (L.) Merr.	Glycine soja	PI 549046	China, Shaan Xi
s19	Glycine max (L.) Merr.	Glycine soja	PI 483465	China, Shaan Xi
s20	Glycine max (L.) Merr.	Glycine soja	PI 597459 C	China, Shan Dong
s21	Glycine max (L.) Merr.	Glycine soja	PI 597461 C	China, Shan Dong
s22	Glycine max (L.) Merr.	Glycine soja	PI 597459 D	China, Shan Dong
s23	Glycine max (L.) Merr.	Glycine soja	PI 597461 A	China, Shan Dong
s24	Glycine max (L.) Merr.	Glycine soja	PI 393551	China, Tai Wan
s25	Glycine max (L.) Merr.	Glycine soja	Y108	China, Zhe Jiang
s26	Glycine max (L.) Merr.	Glycine soja	Y188	China, Zhe Jiang
s27	Glycine max (L.) Merr.	Glycine soja	Y217	China, Zhe Jiang
s28	Glycine max (L.) Merr.	Glycine soja	Y155	China, Zhe Jiang
s29	Glycine max (L.) Merr.	Glycine soja	YJ038	China, Zhe Jiang
s30	Glycine max (L.) Merr.	Glycine soja	Y2300-1	China, Zhe Jiang
s31	Glycine max (L.) Merr.	Glycine soja	YJ086	China, Zhe Jiang
s32	Glycine max (L.) Merr.	Glycine soja	Y191	China, Zhe Jiang
s33	Glycine max (L.) Merr.	Glycine soja	Y282	China, Zhe Jiang
s34	Glycine max (L.) Merr.	Glycine soja	Y314	China, Zhe Jiang
s35	Glycine max (L.) Merr.	Glycine soja	Y200	China, Zhe Jiang
s36	Glycine max (L.) Merr.	Glycine soja	PI 407131	Japan
s37	Glycine max (L.) Merr.	Glycine soja	PI 407027	Japan, Akita
s38	Glycine max (L.) Merr.	Glycine soja	PI 366120	Japan, Akita
s39	Glycine max (L.) Merr.	Glycine soja	PI 366121	Japan, Fukushima
s40	Glycine max (L.) Merr.	Glycine soja	PI 593983	Japan, Hokkaido
s41	Glycine max (L.) Merr.	Glycine soja	PI 378692	Japan, Iwate
s42	Glycine max (L.) Merr.	Glycine soja	PI 366123	Japan, Iwate
s43	Glycine max (L.) Merr.	Glycine soja	PI 507662	Japan, Kagoshima
s44	Glycine max (L.) Merr.	Glycine soja	PI 407285	Japan, Kanagawa
s45	Glycine max (L.) Merr.	Glycine soja	PI 424096	North Korea
s46	Glycine max (L.) Merr.	Glycine soja	PI 339871 A	North Korea
s47	Glycine max (L.) Merr.	Glycine soja	PI 423991	Russian Federation, Federation Amur
s48	Glycine max (L.) Merr.	Glycine soja	PI 578357	Russian Federation, Federation Amur
s49	Glycine max (L.) Merr.	Glycine soja	PI 578341	Russian Federation, Federation Khabarovsk
s50	Glycine max (L.) Merr.	Glycine soja	PI 326582 A	Russian Federation, Federation Primorye
s51	Glycine max (L.) Merr.	Glycine soja	PI 522216	Russian Federation, Federation Primorye
s52	Glycine max (L.) Merr.	Glycine soja	PI 522228	Russian Federation, Federation Primorye
s53	Glycine max (L.) Merr.	Glycine soja	PI 522226	Russian Federation, Federation Primorye
s54	Glycine max (L.) Merr.	Glycine soja	PI 504286	South Korea, Chungchong Puk
s55	Glycine max (L.) Merr.	Glycine soja	PI 562559	South Korea, Jeolla Puk
s56	Glycine max (L.) Merr.	Glycine soja	PI 562565	South Korea, Jeolla Puk
s57	Glycine max (L.) Merr.	Glycine soja	PI 407197	South Korea, Kangwon
s58	Glycine max (L.) Merr.	Glycine soja	PI 407170	South Korea, Kyonggi
s59	Glycine max (L.) Merr.	Glycine soja	PI 407275	South Korea, Kyonggi
s60	Glycine max (L.) Merr.	Glycine soja	PI 407246	South Korea, Kyongsang Puk
s61	Glycine max (L.) Merr.	Glycine soja	PI 547831	United States
s62	Glycine max (L.) Merr.	Glycine soja	ZY020	Unknown
s63	Glycine max (L.) Merr.	Landrace	PI 153262	Belgium
s64	Glycine max (L.) Merr.	Landrace	PI 548382	Canada, Manitoba
s65	Glycine max (L.) Merr.	Landrace	PI 587552	China
s66	Glycine max (L.) Merr.	Landrace	PI 437654 -2	China
s67	Glycine max (L.) Merr.	Landrace	PI 603424 A	China
s68	Glycine max (L.) Merr.	Landrace	PI 417398	China
s69	Glycine max (L.) Merr.	Landrace	PI 594788	China
s70	Glycine max (L.) Merr.	Landrace	PI 437679	China
s71	Glycine max (L.) Merr.	Landrace	PI 548298	China
s72	Glycine max (L.) Merr.	Landrace	PI 437653	China
s73	Glycine max (L.) Merr.	Landrace	PI 404182	China
s74	Glycine max (L.) Merr.	Landrace	PI 253658 B	China
s75	Glycine max (L.) Merr.	Landrace	Yan Shi Huang Dou	China
s76	Glycine max (L.) Merr.	Landrace	PI 548445	China
s77	Glycine max (L.) Merr.	Landrace	PI 548485	China
s78	Glycine max (L.) Merr.	Landrace	PI 437944	China
s79	Glycine max (L.) Merr.	Landrace	PI 587666	China, An Hui
s80	Glycine max (L.) Merr.	Landrace	PI 548402	China, Bei Jing
s81	Glycine max (L.) Merr.	Landrace	PI 603596	China, Fu Jian
s82	Glycine max (L.) Merr.	Landrace	Dong Shan Bai Ma Dou	China, Fu Jian
s83	Glycine max (L.) Merr.	Landrace	Sha Xian Wu Dou	China, Fu Jian
s84	Glycine max (L.) Merr.	Landrace	Tong An Zi Hong Dou	China, Fu Jian
s85	Glycine max (L.) Merr.	Landrace	Sha Men Teng Zai Dou	China, Fu Jian
s86	Glycine max (L.) Merr.	Landrace	Sha Xian Qing Dou	China, Fu Jian
s87	Glycine max (L.) Merr.	Landrace	PI 567293	China, Gan Su
s88	Glycine max (L.) Merr.	Landrace	PI 567298	China, Gan Su
s89	Glycine max (L.) Merr.	Landrace	PI 588053 A	China, Guang Dong
s90	Glycine max (L.) Merr.	Landrace	Hei Dou  -2	China, Guang Dong
s91	Glycine max (L.) Merr.	Landrace	PI 594615	China, Gui Zhou
s92	Glycine max (L.) Merr.	Landrace	PI 594629	China, Gui Zhou
s93	Glycine max (L.) Merr.	Landrace	Xiao Huang Dou -3	China, Gui Zhou
s94	Glycine max (L.) Merr.	Landrace	Bai Mao Dou	China, Gui Zhou
s95	Glycine max (L.) Merr.	Landrace	PI 567503	China, He Bei
s96	Glycine max (L.) Merr.	Landrace	Da Tun Xiao Hei Dou	China, He Bei
s97	Glycine max (L.) Merr.	Landrace	Nan Guan Xiao Pi Qing	China, He Bei
s98	Glycine max (L.) Merr.	Landrace	PI 603336	China, Hei Long Jiang
s99	Glycine max (L.) Merr.	Landrace	PI 548379	China, Hei Long Jiang
s100	Glycine max (L.) Merr.	Landrace	PI 548488	China, Hei Long Jiang
s101	Glycine max (L.) Merr.	Landrace	PI 603318	China, Hei Long Jiang
s102	Glycine max (L.) Merr.	Landrace	Hei He Xiao Huang Dou	China, Hei Long Jiang
s103	Glycine max (L.) Merr.	Landrace	Long Quan Da Dou	China, Hei Long Jiang
s104	Glycine max (L.) Merr.	Landrace	Qing Dou	China, Hei Long Jiang
s105	Glycine max (L.) Merr.	Landrace	Da Li Huang -2	China, Hei Long Jiang
s106	Glycine max (L.) Merr.	Landrace	PI 587752	China, Hu Bei
s107	Glycine max (L.) Merr.	Landrace	PI 587848	China, Hu Bei
s108	Glycine max (L.) Merr.	Landrace	Dai Mi Dou	China, Hu Bei
s109	Glycine max (L.) Merr.	Landrace	Hong Hu Liu Yue Bao	China, Hu Bei
s110	Glycine max (L.) Merr.	Landrace	Jing Huang 35 Yi	China, Hu Bei
s111	Glycine max (L.) Merr.	Landrace	Ni Dou	China, Hu Bei
s112	Glycine max (L.) Merr.	Landrace	PI 594579	China, Hu Nan
s113	Glycine max (L.) Merr.	Landrace	Xiang Dou No.4	China, Hu Nan
s114	Glycine max (L.) Merr.	Landrace	Hong Zhu Dou	China, Hu Nan
s115	Glycine max (L.) Merr.	Landrace	PI 407716	China, Ji Lin
s116	Glycine max (L.) Merr.	Landrace	Hei Wa Shi Dou	China, Ji Lin
s117	Glycine max (L.) Merr.	Landrace	PI 467343	China, Ji Lin
s118	Glycine max (L.) Merr.	Landrace	PI 603384	China, Ji Lin
s119	Glycine max (L.) Merr.	Landrace	PI 548406	China, Ji Lin
s120	Glycine max (L.) Merr.	Landrace	PI 603357	China, Ji Lin
s121	Glycine max (L.) Merr.	Landrace	PI 88479	China, Ji Lin
s122	Glycine max (L.) Merr.	Landrace	Zhu Field	China, Ji Lin
s123	Glycine max (L.) Merr.	Landrace	Jin Shan Cha Zhu Shi Dou	China, Ji Lin
s124	Glycine max (L.) Merr.	Landrace	Pi Xian Nian Zhuang Liu Yue Xian	China, Jiang Su
s125	Glycine max (L.) Merr.	Landrace	PI 603675	China, Jiang Su
s126	Glycine max (L.) Merr.	Landrace	Pi Xian Da Zi Hua Cao	China, Jiang Su
s127	Glycine max (L.) Merr.	Landrace	Yi Zheng Da Li Huang Dou	China, Jiang Su
s128	Glycine max (L.) Merr.	Landrace	Wu Jiang Wu Yue Niu Mao Huang	China, Jiang Su
s129	Glycine max (L.) Merr.	Landrace	Pei Xian Xiao You Dou  -2	China, Jiang Su
s130	Glycine max (L.) Merr.	Landrace	Tai Xing Niu Mao Huang Yi	China, Jiang Su
s131	Glycine max (L.) Merr.	Landrace	Bin Hai Da Huang Ke Zi Jia	China, Jiang Su
s132	Glycine max (L.) Merr.	Landrace	Sha Xin Dou	China, Jiang Xi
s133	Glycine max (L.) Merr.	Landrace	PI 567258	China, Jiang Xi
s134	Glycine max (L.) Merr.	Landrace	PI 548391	China, Liao Ning
s135	Glycine max (L.) Merr.	Landrace	PI 80822	China, Liao Ning
s136	Glycine max (L.) Merr.	Landrace	Yu Shi Dou	China, Liao Ning
s137	Glycine max (L.) Merr.	Landrace	PI 603420	China, Nei Meng Gu
s138	Glycine max (L.) Merr.	Landrace	Xiao Bai Qi	China, Nei Meng Gu
s139	Glycine max (L.) Merr.	Landrace	PI 567364	China, Ning Xia
s140	Glycine max (L.) Merr.	Landrace	Ni Ding Hua Mei Dou	China, Ning Xia
s141	Glycine max (L.) Merr.	Landrace	PI 548348	China, Northeast
s142	Glycine max (L.) Merr.	Landrace	PI 603516	China, Shaan Xi
s143	Glycine max (L.) Merr.	Landrace	PI 567395	China, Shaan Xi
s144	Glycine max (L.) Merr.	Landrace	Guang Rao Da Qing Dou	China, Shan Dong
s145	Glycine max (L.) Merr.	Landrace	PI 567525	China, Shan Dong
s146	Glycine max (L.) Merr.	Landrace	PI 602991	China, Shan Dong
s147	Glycine max (L.) Merr.	Landrace	Tian E Dan -3	China, Shan Dong
s148	Glycine max (L.) Merr.	Landrace	Xiao Mi Dou	China, Shan Dong
s149	Glycine max (L.) Merr.	Landrace	Ji Shan Te Da Li Hei Dou	China, Shan Xi
s150	Glycine max (L.) Merr.	Landrace	Hu Pi Dou ¡ÁYe Sheng Dou J15	China, Shan Xi
s151	Glycine max (L.) Merr.	Landrace	Bai Lu Dou	China, Shan Xi
s152	Glycine max (L.) Merr.	Landrace	Xing Xian Xiao Huang Dou	China, Shan Xi
s153	Glycine max (L.) Merr.	Landrace	Da Qing Ren	China, Shan Xi
s154	Glycine max (L.) Merr.	Landrace	You Pi Zhi Hei Dou	China, Shan Xi
s155	Glycine max (L.) Merr.	Landrace	Xia Hei Dou	China, Shan Xi
s156	Glycine max (L.) Merr.	Landrace	Xiao Bai Dou -2	China, Shan Xi
s157	Glycine max (L.) Merr.	Landrace	PI 594451	China, Si Chuan
s158	Glycine max (L.) Merr.	Landrace	PI 594777	China, Yun Nan
s159	Glycine max (L.) Merr.	Landrace	PI 603756	China, Zhe Jiang
s160	Glycine max (L.) Merr.	Landrace	Cu Dou	China, Zhe Jiang
s161	Glycine max (L.) Merr.	Landrace	PI 323576	India
s162	Glycine max (L.) Merr.	Landrace	PI 567071 A	Indonesia
s163	Glycine max (L.) Merr.	Landrace	PI 416971	Japan
s164	Glycine max (L.) Merr.	Landrace	PI 317336	Japan
s165	Glycine max (L.) Merr.	Landrace	PI 594301	Japan
s166	Glycine max (L.) Merr.	Landrace	PI 416890	Japan
s167	Glycine max (L.) Merr.	Landrace	PI 80837	Japan, Akita
s168	Glycine max (L.) Merr.	Landrace	PI 243541	Japan, Akita
s169	Glycine max (L.) Merr.	Landrace	PI 507355	Japan, Hokkaido
s170	Glycine max (L.) Merr.	Landrace	PI 86024	Japan, Hokkaido
s171	Glycine max (L.) Merr.	Landrace	PI 317334 A	Japan, Hokkaido
s172	Glycine max (L.) Merr.	Landrace	PI 423954	Japan, Kumamoto
s173	Glycine max (L.) Merr.	Landrace	PI 423967	Japan, Kumamoto
s174	Glycine max (L.) Merr.	Landrace	PI 84987	Japan, Saitama
s175	Glycine max (L.) Merr.	Landrace	PI 84987 A	Japan, Saitama
s176	Glycine max (L.) Merr.	Landrace	PI 548342	Japan, Tokyo
s177	Glycine max (L.) Merr.	Landrace	PI 89138	North Korea, Hamgyong Puk
s178	Glycine max (L.) Merr.	Landrace	PI 548456	North Korea, Pyongyang
s179	Glycine max (L.) Merr.	Landrace	PI 437321	Russian Federation, Federation Primorye
s180	Glycine max (L.) Merr.	Landrace	PI 196166	South Korea
s181	Glycine max (L.) Merr.	Landrace	PI 157421	South Korea
s182	Glycine max (L.) Merr.	Landrace	PI 399043	South Korea, Cheju
s183	Glycine max (L.) Merr.	Landrace	PI 424391	South Korea, Jeolla Puk
s184	Glycine max (L.) Merr.	Landrace	PI 407849	South Korea, Jeolla Puk
s185	Glycine max (L.) Merr.	Landrace	PI 339734	South Korea, Kangwon
s186	Glycine max (L.) Merr.	Landrace	PI 407801	South Korea, Kyonggi
s187	Glycine max (L.) Merr.	Landrace	PI 398296	South Korea, Kyonggi
s188	Glycine max (L.) Merr.	Landrace	PI 84631	South Korea, Kyonggi
s189	Glycine max (L.) Merr.	Landrace	PI 83945-3	South Korea, Kyonggi
s190	Glycine max (L.) Merr.	Landrace	PI 548417	United States, Minnesota
s191	Glycine max (L.) Merr.	Landrace	PI 567189 A	Vietnam
s192	Glycine max (L.) Merr.	Landrace	PI 578457 A	Vietnam
s193	Glycine max (L.) Merr.	Improved cultivar	PI 591435	Canada, Ontario
s194	Glycine max (L.) Merr.	Improved cultivar	PI 548573	Canada, Ontario
s195	Glycine max (L.) Merr.	Improved cultivar	PI 591431	Canada, Ontario
s196	Glycine max (L.) Merr.	Improved cultivar	PI 548311	Canada, Ontario
s197	Glycine max (L.) Merr.	Improved cultivar	PI 546044	Canada, Ontario
s198	Glycine max (L.) Merr.	Improved cultivar	PI 548593	Canada, Ontario
s199	Glycine max (L.) Merr.	Improved cultivar	PI 548638	Canada, Ontario
s200	Glycine max (L.) Merr.	Improved cultivar	PI 591432	Canada, Ontario
s201	Glycine max (L.) Merr.	Improved cultivar	PI 548643	Canada, Ontario
s202	Glycine max (L.) Merr.	Improved cultivar	PI 591433	Canada, Ontario
s203	Glycine max (L.) Merr.	Improved cultivar	PI 548644	Canada, Ontario
s204	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.13 -1	China, Bei Jing
s205	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.50	China, Bei Jing
s206	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.31	China, Bei Jing
s207	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.40	China, Bei Jing
s208	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.35	China, Bei Jing
s209	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.38	China, Bei Jing
s210	Glycine max (L.) Merr.	Improved cultivar	Zhong Huang No.14	China, Bei Jing
s211	Glycine max (L.) Merr.	Improved cultivar	Gui Chun No.8 -1	China, Guang Dong
s212	Glycine max (L.) Merr.	Improved cultivar	Cang Dou No.11	China, He Bei
s213	Glycine max (L.) Merr.	Improved cultivar	Sui Nong No.14 -2	China, Hei Long Jiang
s214	Glycine max (L.) Merr.	Improved cultivar	Hei Nong No.51	China, Hei Long Jiang
s215	Glycine max (L.) Merr.	Improved cultivar	He Feng No.25 -1	China, Hei Long Jiang
s216	Glycine max (L.) Merr.	Improved cultivar	Sui Nong No.10	China, Hei Long Jiang
s217	Glycine max (L.) Merr.	Improved cultivar	Sui Nong No.25	China, Hei Long Jiang
s218	Glycine max (L.) Merr.	Improved cultivar	Sui Nong No.33	China, Hei Long Jiang
s219	Glycine max (L.) Merr.	Improved cultivar	Hei He No.1  -1	China, Hei Long Jiang
s220	Glycine max (L.) Merr.	Improved cultivar	PI 612719	China, Hei Long Jiang
s221	Glycine max (L.) Merr.	Improved cultivar	Dong Nong No.51	China, Hei Long Jiang
s222	Glycine max (L.) Merr.	Improved cultivar	Dong Nong No.52	China, Hei Long Jiang
s223	Glycine max (L.) Merr.	Improved cultivar	He Feng No.25 -2	China, Hei Long Jiang
s224	Glycine max (L.) Merr.	Improved cultivar	Dong Nong No.26	China, Hei Long Jiang
s225	Glycine max (L.) Merr.	Improved cultivar	Zhang Nong No.16	China, Ji Lin
s226	Glycine max (L.) Merr.	Improved cultivar	Zhang Nong No.13	China, Ji Lin
s227	Glycine max (L.) Merr.	Improved cultivar	Ji Yu No.90	China, Ji Lin
s228	Glycine max (L.) Merr.	Improved cultivar	Zhang Nong No.18	China, Ji Lin
s229	Glycine max (L.) Merr.	Improved cultivar	Jiu Nong No.30	China, Ji Lin
s230	Glycine max (L.) Merr.	Improved cultivar	PI 518711	China, Ji Lin
s231	Glycine max (L.) Merr.	Improved cultivar	Nan Nong Cai Dou No.1	China, Jiang Su
s232	Glycine max (L.) Merr.	Improved cultivar	Liao Dou No.17	China, Liao Ning
s233	Glycine max (L.) Merr.	Improved cultivar	Tie Feng No.22	China, Liao Ning
s234	Glycine max (L.) Merr.	Improved cultivar	Liao Dou No.15 -1	China, Liao Ning
s235	Glycine max (L.) Merr.	Improved cultivar	Liao Dou No.3	China, Liao Ning
s236	Glycine max (L.) Merr.	Improved cultivar	Liao Dou No.21	China, Liao Ning
s237	Glycine max (L.) Merr.	Improved cultivar	Liao Dou No.11	China, Liao Ning
s238	Glycine max (L.) Merr.	Improved cultivar	He Dou No.13	China, Shan Dong
s239	Glycine max (L.) Merr.	Improved cultivar	Lu Dou No.11	China, Shan Dong
s240	Glycine max (L.) Merr.	Improved cultivar	Sheng Dou No.9	China, Shan Dong
s241	Glycine max (L.) Merr.	Improved cultivar	Wei 6823	China, Shan Dong
s242	Glycine max (L.) Merr.	Improved cultivar	Sheng Li No.3	China, Shan Dong
s243	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.78	China, Shan Xi
s244	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.89	China, Shan Xi
s245	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.63	China, Shan Xi
s246	Glycine max (L.) Merr.	Improved cultivar	Jin Da No.73	China, Shan Xi
s247	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.88	China, Shan Xi
s248	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.86	China, Shan Xi
s249	Glycine max (L.) Merr.	Improved cultivar	Jin Dou No.26	China, Shan Xi
s250	Glycine max (L.) Merr.	Improved cultivar	Jin Da No.62	China, Shan Xi
s251	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.79	China, Shan Xi
s252	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.65	China, Shan Xi
s253	Glycine max (L.) Merr.	Improved cultivar	Fen Dou No.85	China, Shan Xi
s254	Glycine max (L.) Merr.	Improved cultivar	Jin Da No.75	China, Shan Xi
s255	Glycine max (L.) Merr.	Improved cultivar	Jin Da No.70	China, Shan Xi
s256	Glycine max (L.) Merr.	Improved cultivar	Jin Da No.52	China, Shan Xi
s257	Glycine max (L.) Merr.	Improved cultivar	Shu Xian No.205	China, Si Chuan
s258	Glycine max (L.) Merr.	Improved cultivar	Tai Wan Yi Hao	China, Tai Wan
s259	Glycine max (L.) Merr.	Improved cultivar	Xi Zang Da Dou No.20	China, Xi Zang
s260	Glycine max (L.) Merr.	Improved cultivar	PI 518750	Former Serbia and Monteneg
s261	Glycine max (L.) Merr.	Improved cultivar	PI 508266	United States
s262	Glycine max (L.) Merr.	Improved cultivar	PI 591541 -2	United States
s263	Glycine max (L.) Merr.	Improved cultivar	PI 548657	United States
s264	Glycine max (L.) Merr.	Improved cultivar	PI 553047	United States
s265	Glycine max (L.) Merr.	Improved cultivar	PI 438498	United States
s266	Glycine max (L.) Merr.	Improved cultivar	PI 547488	United States
s267	Glycine max (L.) Merr.	Improved cultivar	PI 533602	United States, Arkansas
s268	Glycine max (L.) Merr.	Improved cultivar	PI 533655	United States, Illinois
s269	Glycine max (L.) Merr.	Improved cultivar	PI 547459	United States, Illinois
s270	Glycine max (L.) Merr.	Improved cultivar	PI 547409	United States, Illinois
s271	Glycine max (L.) Merr.	Improved cultivar	PI 548362	United States, Illinois
s272	Glycine max (L.) Merr.	Improved cultivar	PI 547690	United States, Illinois
s273	Glycine max (L.) Merr.	Improved cultivar	PI 547686	United States, Illinois
s274	Glycine max (L.) Merr.	Improved cultivar	PI 591511	United States, Illinois
s275	Glycine max (L.) Merr.	Improved cultivar	PI 548182	United States, Illinois
s276	Glycine max (L.) Merr.	Improved cultivar	PI 548631	United States, Illinois
s277	Glycine max (L.) Merr.	Improved cultivar	PI 634883	United States, Illinois
s278	Glycine max (L.) Merr.	Improved cultivar	PI 547716	United States, Illinois
s279	Glycine max (L.) Merr.	Improved cultivar	PI 547562	United States, Illinois
s280	Glycine max (L.) Merr.	Improved cultivar	PI 547460	United States, Illinois
s281	Glycine max (L.) Merr.	Improved cultivar	PI 547779	United States, Illinois
s282	Glycine max (L.) Merr.	Improved cultivar	PI 591495	United States, Illinois
s283	Glycine max (L.) Merr.	Improved cultivar	PI 548190	United States, Illinois
s284	Glycine max (L.) Merr.	Improved cultivar	PI 547680	United States, Illinois
s285	Glycine max (L.) Merr.	Improved cultivar	PI 548512	United States, Indiana
s286	Glycine max (L.) Merr.	Improved cultivar	PI 548603	United States, Indiana
s287	Glycine max (L.) Merr.	Improved cultivar	PI 548540	United States, Iowa
s288	Glycine max (L.) Merr.	Improved cultivar	PI 548520	United States, Iowa
s289	Glycine max (L.) Merr.	Improved cultivar	FC 33243	United States, Iowa
s290	Glycine max (L.) Merr.	Improved cultivar	PI 548524	United States, Iowa
s291	Glycine max (L.) Merr.	Improved cultivar	PI 515961	United States, Kentucky
s292	Glycine max (L.) Merr.	Improved cultivar	PI 513382	United States, Minnesota
s293	Glycine max (L.) Merr.	Improved cultivar	PI 508083	United States, Minnesota
s294	Glycine max (L.) Merr.	Improved cultivar	PI 542403	United States, Minnesota
s295	Glycine max (L.) Merr.	Improved cultivar	PI 548604	United States, Missouri
s296	Glycine max (L.) Merr.	Improved cultivar	PI 548634	United States, Ohio
s297	Glycine max (L.) Merr.	Improved cultivar	PI 536635	United States, Ohio
s298	Glycine max (L.) Merr.	Improved cultivar	PI 540552	United States, Ohio
s299	Glycine max (L.) Merr.	Improved cultivar	PI 548565	United States, Ohio
s300	Glycine max (L.) Merr.	Improved cultivar	PI 548985	United States, South Carolina
s301	Glycine max (L.) Merr.	Improved cultivar	PI 548477	United States, Tennessee
s302	Glycine max (L.) Merr.	Improved cultivar	PI 518664	United States, Virginia
s303	Glycine max (L.) Merr.	Landrace	Dunfield	Belgium
s304	Glycine max (L.) Merr.	Landrace	Zhutwinning2	China
s305	Glycine max (L.) Merr.	Landrace	Zhu-Twinning-3 Nonshattering	China
s306	Glycine max (L.) Merr.	Landrace	Xiao Qing Dou	China
s307	Glycine max (L.) Merr.	Landrace	Te Da Dou No.1	China
s308	Glycine max (L.) Merr.	Landrace	Hei Jia Pi Lv Qing Dou	China
s309	Glycine max (L.) Merr.	Landrace	Da Hei Qi	China
s310	Glycine max (L.) Merr.	Landrace	Yi Li Hei Dou	China
s311	Glycine max (L.) Merr.	Landrace	Ji Shi Bai Hua	China
s312	Glycine max (L.) Merr.	Landrace	Huang Dou -2	China
s313	Glycine max (L.) Merr.	Landrace	Da Bai Pi	China
s314	Glycine max (L.) Merr.	Landrace	Hei Gun Dou	China
s315	Glycine max (L.) Merr.	Landrace	PI 297543	China
s316	Glycine max (L.) Merr.	Landrace	Huang Qi	China
s317	Glycine max (L.) Merr.	Landrace	Tong Ye Ping £ºRmxiang	China
s318	Glycine max (L.) Merr.	Landrace	Ben Di Da Huang Dou	China
s319	Glycine max (L.) Merr.	Landrace	Huang Shou Gan Dou	China
s320	Glycine max (L.) Merr.	Landrace	Niu Mao Huang  -1	China
s321	Glycine max (L.) Merr.	Landrace	Hui Bu Zhi	China
s322	Glycine max (L.) Merr.	Landrace	Xiao Huang Dou -1	China
s323	Glycine max (L.) Merr.	Landrace	Da Tian E Dan	China
s324	Glycine max (L.) Merr.	Landrace	Tian E Dan -1	China
s325	Glycine max (L.) Merr.	Landrace	Xiu Xian Ping Ding Wu	China, An Hui
s326	Glycine max (L.) Merr.	Landrace	PI 567700	China, An Hui
s327	Glycine max (L.) Merr.	Landrace	Si Li Jia	China, An Hui
s328	Glycine max (L.) Merr.	Landrace	Jie Jie Si	China, An Hui
s329	Glycine max (L.) Merr.	Landrace	PI 567720 A	China, An Hui
s330	Glycine max (L.) Merr.	Landrace	Liu Yue Bao	China, An Hui
s331	Glycine max (L.) Merr.	Landrace	Tie Jiao Huang	China, An Hui
s332	Glycine max (L.) Merr.	Landrace	PI 567730	China, An Hui
s333	Glycine max (L.) Merr.	Landrace	Da Hong Dou	China, An Hui
s334	Glycine max (L.) Merr.	Landrace	Wo Yang Da Jian Ke	China, An Hui
s335	Glycine max (L.) Merr.	Landrace	Shui Niu Pi	China, An Hui
s336	Glycine max (L.) Merr.	Landrace	Xiao Hua Dou	China, An Hui
s337	Glycine max (L.) Merr.	Landrace	Xiu Xian Tian E Dan	China, An Hui
s338	Glycine max (L.) Merr.	Landrace	Mi Feng Qiu	China, An Hui
s339	Glycine max (L.) Merr.	Landrace	Meng Cheng Ba Yue Zha	China, An Hui
s340	Glycine max (L.) Merr.	Landrace	Lu Tuan Bai Jian Ke	China, An Hui
s341	Glycine max (L.) Merr.	Landrace	Wu Ming	China, An Hui
s342	Glycine max (L.) Merr.	Landrace	Da Xing Qing Dou	China, Bei Jing
s343	Glycine max (L.) Merr.	Landrace	Mi Yun Hua Lian Hu	China, Bei Jing
s344	Glycine max (L.) Merr.	Landrace	Bei Jing Xiao Hei Dou	China, Bei Jing
s345	Glycine max (L.) Merr.	Landrace	Ma Yi Qi Hei Dou	China, Bei Jing
s346	Glycine max (L.) Merr.	Landrace	Zhong Sheng Da Jia Zhi Dou	China, Bei Jing
